name,rating
The Last of Us 2,92
Ghost of Tsushima,95
Uncharted 4: A Thief's End,97
Control,78
Grand Theft Auto V,90
Civilization 6,82
The Last of Us,97
The Witcher 3,96
Nier: Automata,89
Far Cry 4,90
Far Cry 3,83
sd,sd
